Move Number,Position
1,"(7, 7)"
2,"[8, 7]"
3,"(6, 7)"
4,"(6, 8)"
5,"(7, 8)"
6,"(8, 8)"
7,"[9, 8]"
8,"(6, 7)"
9,"(6, 8)"
10,"(7, 8)"
11,"(8, 6)"
12,"(7, 6)"
13,"[10, 9]"
14,"(6, 7)"
15,"(6, 8)"
16,"(7, 8)"
17,"[11, 10]"
18,"(6, 7)"
19,"(6, 8)"
20,"(8, 6)"
21,"(6, 6)"
22,"(5, 6)"
23,"(5, 7)"
24,"(5, 8)"
25,"(5, 9)"
26,"(6, 9)"
27,"(7, 9)"
28,"(8, 9)"
29,"(9, 9)"
30,"(9, 7)"
31,"(9, 6)"
32,"(9, 5)"
33,"(8, 5)"
34,"(7, 5)"
35,"(6, 5)"
36,"(5, 5)"
37,"(4, 5)"
38,"(4, 6)"
39,"(4, 7)"
40,"(4, 8)"
41,"(4, 9)"
42,"(4, 10)"
43,"(5, 10)"
44,"(6, 10)"
45,"(7, 10)"
46,"(8, 10)"
47,"(9, 10)"
48,"(10, 10)"
49,"(10, 8)"
50,"(10, 7)"
51,"(10, 6)"
52,"(10, 5)"
53,"(10, 4)"
54,"(9, 4)"
55,"(8, 4)"
56,"(7, 4)"
57,"(6, 4)"
58,"(5, 4)"
59,"(4, 4)"
60,"(3, 4)"
61,"(3, 5)"
62,"(3, 6)"
63,"(3, 7)"
64,"(3, 8)"
65,"(3, 9)"
66,"(3, 10)"
67,"(3, 11)"
68,"(4, 11)"
69,"(5, 11)"
70,"(6, 11)"
71,"(7, 11)"
72,"(8, 11)"
73,"(9, 11)"
74,"(10, 11)"
75,"(11, 11)"
76,"(11, 9)"
77,"(11, 8)"
78,"(11, 7)"
79,"(11, 6)"
80,"(11, 5)"
81,"(11, 4)"
82,"(11, 3)"
83,"(10, 3)"
84,"(9, 3)"
85,"(8, 3)"
86,"(7, 3)"
87,"(6, 3)"
88,"(5, 3)"
89,"(4, 3)"
90,"(3, 3)"
91,"(2, 3)"
92,"(2, 4)"
93,"(2, 5)"
94,"(2, 6)"
95,"(2, 7)"
96,"(2, 8)"
97,"(2, 9)"
98,"(2, 10)"
99,"(2, 11)"
100,"(2, 12)"
101,"(3, 12)"
102,"(4, 12)"
103,"(5, 12)"
104,"(6, 12)"
105,"(7, 12)"
106,"(8, 12)"
107,"(9, 12)"
108,"(10, 12)"
109,"(11, 12)"
110,"(12, 12)"
111,"(12, 11)"
112,"[13, 12]"
113,"(6, 7)"
114,"(6, 8)"
115,"(8, 6)"
116,"(6, 6)"
117,"(5, 6)"
118,"(5, 7)"
119,"(5, 8)"
120,"(5, 9)"
121,"(6, 9)"
122,"(7, 9)"
123,"[11, 13]"
124,"(6, 7)"
125,"(6, 8)"
126,"(8, 6)"
127,"(6, 6)"
128,"(5, 6)"
129,"(5, 7)"
130,"(5, 8)"
131,"(5, 9)"
132,"(6, 9)"
133,"(8, 9)"
134,"(9, 9)"
135,"(9, 7)"
136,"(9, 6)"
137,"(9, 5)"
138,"(8, 5)"
139,"(7, 5)"
